"","train_cindex","test_cindex","Model"
"71",0.743597489343134,0.668211440984794,"Enet(alpha=0.3)+CoxBoost"
"72",0.944181519148793,0.657639391745112,"Enet(alpha=0.3)+RSF"
"73",0.749135703017487,0.658797972483707,"Enet(alpha=0.3)+plsRcox"
"74",0.532776155472762,0.551774076755974,"Enet(alpha=0.3)+Survivalsvm"
"75",0.913402477091934,0.659087617668356,"Enet(alpha=0.3)+GBM"
"76",0.628771859161548,0.607675597393193,"Enet(alpha=0.3)+superpc"
"77",0.722350887792435,0.659377262853005,"Enet(alpha=0.4)+StepCox(both)"
"78",0.722350887792435,0.659377262853005,"Enet(alpha=0.4)+StepCox(backward)"
"79",0.733863659248817,0.674728457639392,"Enet(alpha=0.4)+StepCox(forward)"
"80",0.73463565267009,0.675597393193338,"Enet(alpha=0.4)"
"81",0.733293055415702,0.67400434467777,"Enet(alpha=0.4)+CoxBoost"
"82",0.93864330547444,0.667052860246198,"Enet(alpha=0.4)+RSF"
"83",0.733964354042896,0.674728457639392,"Enet(alpha=0.4)+plsRcox"
"84",0.512905716107811,0.57929036929761,"Enet(alpha=0.4)+Survivalsvm"
"85",0.883059779142752,0.667487328023172,"Enet(alpha=0.4)+GBM"
"86",0.602221998456013,0.589717595944967,"Enet(alpha=0.4)+superpc"
"87",0.722350887792435,0.659377262853005,"Enet(alpha=0.5)+StepCox(both)"
"88",0.722350887792435,0.659377262853005,"Enet(alpha=0.5)+StepCox(backward)"
"89",0.733863659248817,0.674728457639392,"Enet(alpha=0.5)+StepCox(forward)"
"90",0.734467828013292,0.674293989862419,"Enet(alpha=0.5)"
"91",0.733863659248817,0.674293989862419,"Enet(alpha=0.5)+CoxBoost"
"92",0.93864330547444,0.667052860246198,"Enet(alpha=0.5)+RSF"
"93",0.733964354042896,0.674728457639392,"Enet(alpha=0.5)+plsRcox"
"94",0.512905716107811,0.57929036929761,"Enet(alpha=0.5)+Survivalsvm"
"95",0.904742724801128,0.666618392469225,"Enet(alpha=0.5)+GBM"
"96",0.604403718994395,0.568863142650254,"Enet(alpha=0.5)+superpc"
"97",0.74061021045212,0.659377262853005,"Enet(alpha=0.6)+StepCox(both)"
"98",0.74061021045212,0.659377262853005,"Enet(alpha=0.6)+StepCox(backward)"
"99",0.743899573725372,0.668935553946416,"Enet(alpha=0.6)+StepCox(forward)"
"100",0.737253717316148,0.676611151339609,"Enet(alpha=0.6)"
"101",0.742221327157386,0.673280231716148,"Enet(alpha=0.6)+CoxBoost"
"102",0.938206961366764,0.668935553946416,"Enet(alpha=0.6)+RSF"
"103",0.743899573725372,0.669370021723389,"Enet(alpha=0.6)+plsRcox"
"104",0.554929010170174,0.582766111513396,"Enet(alpha=0.6)+Survivalsvm"
"105",0.889806330346054,0.665749456915279,"Enet(alpha=0.6)+GBM"
"106",0.593965025341523,0.560028964518465,"Enet(alpha=0.6)+superpc"
